Waf: Entering directory `/home/vagrant/ns3/ns-allinone-3.35/ns-3.35/build'
[964/968] Compiling overlayApplication.cc
[968/968] Linking ../../build/scratch/MinCostFixRate/MinCostFixRate
Waf: Leaving directory `/home/vagrant/ns3/ns-allinone-3.35/ns-3.35/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.636s)
underlay_file: /vagrant/Documents/vagrant_shared_folder/Abvt.graph
overlay_file: /home/vagrant/ns3/ns-allinone-3.35/ns-3.35/scratch/MinCostFixRate/overlay.txt
route_table: /home/vagrant/ns3/ns-allinone-3.35/ns-3.35/scratch/MinCostFixRate/route_table.txt
Run Simulation.
Node ID: 9 start at 92
/NodeList/0/$ns3::Ipv4L3Protocol/Tx	+1.1463e+07ns, PktID= 3: src:9 dest:14
/NodeList/0/DeviceList/1/$ns3::PointToPointNetDevice/MacTx	+1.1463e+07ns, PktID= 3: src:9 dest:14
/NodeList/0/DeviceList/1/$ns3::PointToPointNetDevice/TxQueue/Enqueue: trace_NetDeviceQueueEnqueue from 9 to 14
Node ID: 6 forward at: 11479.2
Node ID: 7 forward at: 11480.6
Node ID: 1 forward at: 11502.7
/NodeList/0/DeviceList/1/$ns3::PointToPointNetDevice/PhyTxBegin	+1.15286e+07ns, PktID= 3: src:9 dest:14
/NodeList/0/DeviceList/1/$ns3::PointToPointNetDevice/PhyTxEnd	+1.15371e+07ns, PktID= 3: src:9 dest:14
Node ID: 8 forward at: 11555.3
/NodeList/0/DeviceList/4/$ns3::PointToPointNetDevice/MacRx	+1.1589e+07ns, PktID= 4: src:9 dest:14
/NodeList/0/$ns3::Ipv4L3Protocol/Rx	+1.1589e+07ns, PktID= 4: src:9 dest:14
Node ID: 0 forward at: 11589
Node ID: 0PktID: 4src: 9 -dest: 14 queue backlog: 9 limit = 20p
/NodeList/0/$ns3::Ipv4L3Protocol/Tx	+1.1589e+07ns, PktID= 4: src:9 dest:14
/NodeList/0/DeviceList/1/$ns3::PointToPointNetDevice/MacTx	+1.1589e+07ns, PktID= 4: src:9 dest:14
/NodeList/0/DeviceList/1/$ns3::PointToPointNetDevice/TxQueue/Enqueue: trace_NetDeviceQueueEnqueue from 9 to 14
Node ID: 6 forward at: 11605.2
Node ID: 7 forward at: 11606.6
Node ID: 1 forward at: 11628.7
/NodeList/0/DeviceList/1/$ns3::PointToPointNetDevice/PhyTxBegin	+1.1672e+07ns, PktID= 4: src:9 dest:14
/NodeList/0/DeviceList/1/$ns3::PointToPointNetDevice/PhyTxEnd	+1.16804e+07ns, PktID= 4: src:9 dest:14
Node ID: 8 forward at: 11681.3
/NodeList/0/DeviceList/4/$ns3::PointToPointNetDevice/MacRx	+1.1715e+07ns, PktID= 5: src:9 dest:14
/NodeList/0/$ns3::Ipv4L3Protocol/Rx	+1.1715e+07ns, PktID= 5: src:9 dest:14
Node ID: 0 forward at: 11715
Node ID: 0PktID: 5src: 9 -dest: 14 queue backlog: 11 limit = 20p
/NodeList/0/$ns3::Ipv4L3Protocol/Tx	+1.1715e+07ns, PktID= 5: src:9 dest:14
/NodeList/0/DeviceList/1/$ns3::PointToPointNetDevice/MacTx	+1.1715e+07ns, PktID= 5: src:9 dest:14
/NodeList/0/DeviceList/1/$ns3::PointToPointNetDevice/TxQueue/Enqueue: trace_NetDeviceQueueEnqueue from 9 to 14
Node ID: 6 forward at: 11731.2
Node ID: 7 forward at: 11732.6
Node ID: 1 forward at: 11754.7
Node ID: 8 forward at: 11807.3
/NodeList/0/DeviceList/1/$ns3::PointToPointNetDevice/PhyTxBegin	+1.18153e+07ns, PktID= 5: src:9 dest:14
/NodeList/0/DeviceList/1/$ns3::PointToPointNetDevice/PhyTxEnd	+1.18237e+07ns, PktID= 5: src:9 dest:14
/NodeList/0/DeviceList/4/$ns3::PointToPointNetDevice/MacRx	+1.1841e+07ns, PktID= 6: src:9 dest:14
/NodeList/0/$ns3::Ipv4L3Protocol/Rx	+1.1841e+07ns, PktID= 6: src:9 dest:14
Node ID: 0 forward at: 11841
Node ID: 0PktID: 6src: 9 -dest: 14 queue backlog: 13 limit = 20p
/NodeList/0/$ns3::Ipv4L3Protocol/Tx	+1.1841e+07ns, PktID= 6: src:9 dest:14
/NodeList/0/DeviceList/1/$ns3::PointToPointNetDevice/MacTx	+1.1841e+07ns, PktID= 6: src:9 dest:14
/NodeList/0/DeviceList/1/$ns3::PointToPointNetDevice/TxQueue/Enqueue: trace_NetDeviceQueueEnqueue from 9 to 14
Node ID: 6 forward at: 11857.2
Node ID: 7 forward at: 11858.6
Node ID: 1 forward at: 11880.7
Node ID: 8 forward at: 11933.3
/NodeList/0/DeviceList/1/$ns3::PointToPointNetDevice/PhyTxBegin	+1.19587e+07ns, PktID= 6: src:9 dest:14
